Modelo,Accuracy,Precision_macro,Recall_macro,F1_macro,F1_weighted,Tiempo_entrenamiento,Tiempo_prediccion
SVM RBF,0.8756,0.8768758325104354,0.8756,0.8755557196415354,0.8755557196415356,14.909284114837646,1.3118023872375488
Random Forest,0.8754,0.8761706635848352,0.8754,0.8751903973439606,0.8751903973439606,0.7035939693450928,0.043181657791137695
Logistic Regression,0.8642,0.8651846678755799,0.8642000000000001,0.8640329055962749,0.8640329055962748,0.8724896907806396,0.005093097686767578
SVM Linear,0.8588,0.8602818965788313,0.8588000000000001,0.8582921657977053,0.8582921657977053,4.544854164123535,0.0044345855712890625
SVM Polynomial,0.8546,0.8612125423611892,0.8546000000000001,0.8544859241336884,0.8544859241336884,26.99352264404297,0.808391809463501
KNN,0.851,0.8524120510278564,0.851,0.8510241275624448,0.8510241275624446,0.017245769500732422,1.6840379238128662
Perceptron,0.8132,0.8123229262334688,0.8132000000000001,0.8125122820864495,0.8125122820864497,0.2714707851409912,0.011130571365356445
Decision Tree,0.8084,0.8085964014660361,0.8084,0.8084109224014799,0.8084109224014799,0.7355852127075195,0.003995656967163086
Adaline (SGD),0.201,0.20713465321502156,0.20099999999999998,0.17066002352560555,0.17066002352560553,7.025347709655762,0.003942012786865234
